acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,added_at,song_title,artists
0.00181,https://api.spotify.com/v1/audio-analysis/46LX0sSwIU4GFLcj23ZfMA,0.565,198627,0.726,46LX0sSwIU4GFLcj23ZfMA,3.06e-06,0,0.103,-6.715,1,0.0548,178.078,4,https://api.spotify.com/v1/tracks/46LX0sSwIU4GFLcj23ZfMA,audio_features,spotify:track:46LX0sSwIU4GFLcj23ZfMA,0.715,2020-06-17T22:18:56Z,Gospel For A New Century,Yves Tumor
0.993,https://api.spotify.com/v1/audio-analysis/5sUIXFw4JlwYWTQ0HTITYn,0.401,219680,0.298,5sUIXFw4JlwYWTQ0HTITYn,0.902,9,0.121,-14.157,1,0.0476,111.268,4,https://api.spotify.com/v1/tracks/5sUIXFw4JlwYWTQ0HTITYn,audio_features,spotify:track:5sUIXFw4JlwYWTQ0HTITYn,0.574,2020-06-16T21:29:42Z,Desperate Man Blues,Daniel Johnston
0.111,https://api.spotify.com/v1/audio-analysis/0SSoQF9K7X645Zhvk41cW3,0.34,304093,0.672,0SSoQF9K7X645Zhvk41cW3,0.0499,9,0.814,-7.182,1,0.0459,118.498,4,https://api.spotify.com/v1/tracks/0SSoQF9K7X645Zhvk41cW3,audio_features,spotify:track:0SSoQF9K7X645Zhvk41cW3,0.59,2020-06-14T20:39:51Z,Sunflower Seeds,The Orielles
0.469,https://api.spotify.com/v1/audio-analysis/5OkYfk72CNL8XLqa3gp9q7,0.406,282560,0.524,5OkYfk72CNL8XLqa3gp9q7,3.95e-06,5,0.117,-11.071,1,0.255,56.046,4,https://api.spotify.com/v1/tracks/5OkYfk72CNL8XLqa3gp9q7,audio_features,spotify:track:5OkYfk72CNL8XLqa3gp9q7,0.412,2020-06-06T15:01:11Z,"Something to Rap About (feat. Tyler, The Creator)","Freddie Gibbs,The Alchemist,Tyler, The Creator"
0.894,https://api.spotify.com/v1/audio-analysis/6pJx4hk06fNNhjxrOjL5iP,0.472,188040,0.266,6pJx4hk06fNNhjxrOjL5iP,0.000391,2,0.11,-10.445,1,0.0311,130.978,4,https://api.spotify.com/v1/tracks/6pJx4hk06fNNhjxrOjL5iP,audio_features,spotify:track:6pJx4hk06fNNhjxrOjL5iP,0.129,2020-05-29T13:18:20Z,Be The Change,The Wild Reeds
0.0494,https://api.spotify.com/v1/audio-analysis/3DNOKbUNAwSAqag8nT4iRI,0.53,199960,0.869,3DNOKbUNAwSAqag8nT4iRI,0.000115,10,0.136,-4.351,0,0.0432,158.573,4,https://api.spotify.com/v1/tracks/3DNOKbUNAwSAqag8nT4iRI,audio_features,spotify:track:3DNOKbUNAwSAqag8nT4iRI,0.893,2020-04-29T16:31:43Z,I'm Cold - Sav Studio Demo 11/77,The Cure
0.909,https://api.spotify.com/v1/audio-analysis/7mMlbJlXXo2mRtQ4R9sIzD,0.451,268980,0.166,7mMlbJlXXo2mRtQ4R9sIzD,0.0,9,0.19,-11.125,1,0.0696,121.123,4,https://api.spotify.com/v1/tracks/7mMlbJlXXo2mRtQ4R9sIzD,audio_features,spotify:track:7mMlbJlXXo2mRtQ4R9sIzD,0.0901,2020-04-26T18:34:39Z,Hide and Seek,Imogen Heap
0.151,https://api.spotify.com/v1/audio-analysis/2utg3uOfXSdzHT12elDODQ,0.62,529840,0.828,2utg3uOfXSdzHT12elDODQ,0.0,7,0.288,-10.862,1,0.056,117.282,4,https://api.spotify.com/v1/tracks/2utg3uOfXSdzHT12elDODQ,audio_features,spotify:track:2utg3uOfXSdzHT12elDODQ,0.647,2020-04-24T16:27:28Z,Ziglibithiens,Ernesto Djédjé
0.265,https://api.spotify.com/v1/audio-analysis/4XOYGamZz3xk54LRa9zUIF,0.686,195613,0.753,4XOYGamZz3xk54LRa9zUIF,0.00597,8,0.107,-7.236,1,0.144,127.725,4,https://api.spotify.com/v1/tracks/4XOYGamZz3xk54LRa9zUIF,audio_features,spotify:track:4XOYGamZz3xk54LRa9zUIF,0.583,2020-04-24T16:20:28Z,Soo Kwarm Rak Khorng Phom Doo Dai (You Can See My Love),Jackatchan
0.0554,https://api.spotify.com/v1/audio-analysis/18WxWjAQtrhwpdbdLOCd7N,0.442,192253,0.862,18WxWjAQtrhwpdbdLOCd7N,0.0589,4,0.143,-4.952,0,0.0577,151.19,4,https://api.spotify.com/v1/tracks/18WxWjAQtrhwpdbdLOCd7N,audio_features,spotify:track:18WxWjAQtrhwpdbdLOCd7N,0.627,2020-04-02T14:32:06Z,St. Louis,The Easybeats
